Name,Code,Region,State,Year,Month,Visit,Latitude,Longitude
Acadia NP,ACAD,Northeast ,ME,1985,12,35245,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1986,1,28369,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1986,2,33055,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1986,3,47390,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1986,4,257926,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1986,5,411604,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1986,6,486835,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1986,7,717864,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1986,8,809273,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1986,9,488247,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1986,10,407396,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1986,11,204770,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1986,12,36325,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1987,1,35579,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1987,2,35766,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1987,3,56924,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1987,4,292358,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1987,5,444265,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1987,6,523486,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1987,7,751309,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1987,8,786970,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1987,9,562309,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1987,10,444810,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1987,11,299699,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1987,12,54679,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1988,1,43462,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1988,2,30060,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1988,3,54253,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1988,4,223653,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1988,5,448299,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1988,6,582015,44.35,-68.21
